,Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Product_Category,Product_Sub_Category,Order_ID_x,Order_Date,Order_Priority,Order_Month,Order_Year,Customer_Name,Province,Region,Customer_Segment,Order_ID_y,Ship_Mode,Ship_Date,Ship_Month,Ship_Year,Duration
15,Ord_3733,Prod_4,SHP_5178,Cust_1314,553.3415,0.08,33,-67.71,0.99,0.83,TECHNOLOGY,TELEPHONES AND COMMUNICATION,41186,2010-11-22,HIGH,11,2010,ALEKSANDRA GANNAWAY,SASKACHEWAN,PRARIE,CORPORATE,41186,REGULAR AIR,2010-11-23,11,2010,1 days 00:00:00.000000000
16,Ord_4143,Prod_16,SHP_5771,Cust_1417,207.21,0.06,24,-78.64,6.14,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",13920,2009-09-10,CRITICAL,9,2009,ALLEN ARMOLD,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,13920,REGULAR AIR,2009-10-10,10,2009,30 days 00:00:00.000000000
17,Ord_4143,Prod_6,SHP_5770,Cust_1417,901.32,0.1,25,338.01,5.08,0.38,OFFICE SUPPLIES,PAPER,13920,2009-09-10,CRITICAL,9,2009,ALLEN ARMOLD,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,13920,EXPRESS AIR,2009-11-10,11,2009,61 days 00:00:00.000000000
18,Ord_4796,Prod_16,SHP_6686,Cust_1659,95.09,0.09,9,-13.53,3.37,0.57,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",55554,2009-11-16,CRITICAL,11,2009,ALYSSA TATE,BRITISH COLUMBIA,WEST,SMALL BUSINESS,55554,REGULAR AIR,2009-11-17,11,2009,1 days 00:00:00.000000000
19,Ord_4796,Prod_6,SHP_6686,Cust_1659,122.09,0.04,6,-15.2,9.54,0.37,OFFICE SUPPLIES,PAPER,55554,2009-11-16,CRITICAL,11,2009,ALYSSA TATE,BRITISH COLUMBIA,WEST,SMALL BUSINESS,55554,REGULAR AIR,2009-11-17,11,2009,1 days 00:00:00.000000000
20,Ord_4796,Prod_13,SHP_6687,Cust_1659,150.06,0.02,49,30.97,0.7,0.56,OFFICE SUPPLIES,PENS & ART SUPPLIES,55554,2009-11-16,CRITICAL,11,2009,ALYSSA TATE,BRITISH COLUMBIA,WEST,SMALL BUSINESS,55554,REGULAR AIR,2009-11-19,11,2009,3 days 00:00:00.000000000
21,Ord_4830,Prod_6,SHP_6731,Cust_1659,158.91,0.06,24,-38.57,5.2,0.37,OFFICE SUPPLIES,PAPER,59363,2009-02-05,HIGH,2,2009,ALYSSA TATE,BRITISH COLUMBIA,WEST,SMALL BUSINESS,59363,REGULAR AIR,2009-02-05,2,2009,0 days 00:00:00.000000000
22,Ord_1854,Prod_16,SHP_2548,Cust_727,182.47,0.05,17,-3.18,3.37,0.57,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",48455,2009-02-06,CRITICAL,2,2009,AMY COX,NOVA SCOTIA,ATLANTIC,SMALL BUSINESS,48455,REGULAR AIR,2009-03-06,3,2009,28 days 00:00:00.000000000
23,Ord_1854,Prod_6,SHP_2548,Cust_622,817.53,0.03,34,76.63,11.54,0.39,OFFICE SUPPLIES,PAPER,48455,2009-02-06,CRITICAL,2,2009,AMY COX,NEWFOUNDLAND,ATLANTIC,SMALL BUSINESS,48455,REGULAR AIR,2009-03-06,3,2009,28 days 00:00:00.000000000
24,Ord_1854,Prod_17,SHP_2548,Cust_564,25.96,0.06,2,-29.29,6.24,0.36,TECHNOLOGY,OFFICE MACHINES,48455,2009-02-06,CRITICAL,2,2009,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,48455,REGULAR AIR,2009-03-06,3,2009,28 days 00:00:00.000000000
25,Ord_1814,Prod_13,SHP_2507,Cust_622,81.9,0.01,27,4.06,0.96,0.58,OFFICE SUPPLIES,PENS & ART SUPPLIES,21890,2011-01-24,NOT SPECIFIED,1,2011,AMY COX,NEWFOUNDLAND,ATLANTIC,SMALL BUSINESS,21890,REGULAR AIR,2011-01-26,1,2011,2 days 00:00:00.000000000
26,Ord_1814,Prod_9,SHP_2507,Cust_1550,495.5,0.06,44,-12.67,6.97,0.35,OFFICE SUPPLIES,ENVELOPES,21890,2011-01-24,NOT SPECIFIED,1,2011,AMY COX,YUKON,YUKON,SMALL BUSINESS,21890,REGULAR AIR,2011-01-26,1,2011,2 days 00:00:00.000000000
27,Ord_2957,Prod_13,SHP_4078,Cust_564,65.12,0.07,38,1.42,1.0,0.35,OFFICE SUPPLIES,PENS & ART SUPPLIES,54151,2009-02-09,CRITICAL,2,2009,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,54151,REGULAR AIR,2009-03-09,3,2009,28 days 00:00:00.000000000
28,Ord_2957,Prod_6,SHP_4078,Cust_564,205.87,0.03,35,65.88,1.46,0.39,OFFICE SUPPLIES,PAPER,54151,2009-02-09,CRITICAL,2,2009,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,54151,REGULAR AIR,2009-03-09,3,2009,28 days 00:00:00.000000000
29,Ord_2991,Prod_13,SHP_4136,Cust_564,193.25,0.03,19,71.55,1.09,0.43,OFFICE SUPPLIES,PENS & ART SUPPLIES,25536,2011-07-22,LOW,7,2011,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,25536,REGULAR AIR,2011-07-22,7,2011,0 days 00:00:00.000000000
30,Ord_2946,Prod_6,SHP_4065,Cust_564,51.27,0.06,7,3.27,2.17,0.38,OFFICE SUPPLIES,PAPER,48773,2009-01-15,MEDIUM,1,2009,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,48773,REGULAR AIR,2009-01-17,1,2009,2 days 00:00:00.000000000
31,Ord_3000,Prod_2,SHP_4152,Cust_564,353.02,0.0,7,72.55,5.1,0.46,OFFICE SUPPLIES,APPLIANCES,40103,2010-09-24,NOT SPECIFIED,9,2010,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,40103,REGULAR AIR,2010-09-27,9,2010,3 days 00:00:00.000000000
32,Ord_1535,Prod_2,SHP_2123,Cust_564,3638.27,0.04,45,1123.79,4.5,0.59,OFFICE SUPPLIES,APPLIANCES,36929,2012-05-25,LOW,5,2012,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,36929,REGULAR AIR,2012-05-25,5,2012,0 days 00:00:00.000000000
33,Ord_1535,Prod_1,SHP_2124,Cust_564,1326.69,0.0,37,185.37,8.74,0.61,OFFICE SUPPLIES,STORAGE & ORGANIZATION,36929,2012-05-25,LOW,5,2012,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,36929,REGULAR AIR,2012-05-29,5,2012,4 days 00:00:00.000000000
34,Ord_1544,Prod_5,SHP_2136,Cust_564,387.17,0.01,8,190.6,4.8,0.68,FURNITURE,OFFICE FURNISHINGS,38145,2009-12-09,NOT SPECIFIED,12,2009,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,38145,REGULAR AIR,2009-09-13,9,2009,-87 days +00:00:00.000000000
35,Ord_1544,Prod_3,SHP_2135,Cust_564,60.92,0.07,33,-17.2,1.49,0.37,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,38145,2009-12-09,NOT SPECIFIED,12,2009,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,38145,REGULAR AIR,2009-09-14,9,2009,-86 days +00:00:00.000000000
36,Ord_4506,Prod_16,SHP_6273,Cust_1544,92.02,0.07,9,-24.88,4.68,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",19524,2010-01-14,CRITICAL,1,2010,AMY COX,YUKON,YUKON,CORPORATE,19524,REGULAR AIR,2010-01-15,1,2010,1 days 00:00:00.000000000
37,Ord_4080,Prod_16,SHP_5688,Cust_1388,666.4,0.0,39,2.02,7.42,0.56,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",43653,2012-10-30,HIGH,10,2012,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,43653,EXPRESS AIR,2012-10-31,10,2012,1 days 00:00:00.000000000
38,Ord_4080,Prod_7,SHP_5687,Cust_1388,10.62,0.07,3,-3.96,1.35,0.4,OFFICE SUPPLIES,RUBBER BANDS,43653,2012-10-30,HIGH,10,2012,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,43653,REGULAR AIR,2012-10-30,10,2012,0 days 00:00:00.000000000
39,Ord_4080,Prod_1,SHP_5689,Cust_1388,351.3,0.06,10,1.45,8.22,0.57,OFFICE SUPPLIES,STORAGE & ORGANIZATION,43653,2012-10-30,HIGH,10,2012,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,43653,REGULAR AIR,2012-01-11,1,2012,-293 days +00:00:00.000000000
40,Ord_4078,Prod_6,SHP_5685,Cust_1388,241.92,0.1,26,67.71,2.27,0.36,OFFICE SUPPLIES,PAPER,42788,2011-10-13,CRITICAL,10,2011,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,42788,REGULAR AIR,2011-10-15,10,2011,2 days 00:00:00.000000000
41,Ord_4023,Prod_6,SHP_5599,Cust_1388,144.95,0.08,7,10.82,5.86,0.38,OFFICE SUPPLIES,PAPER,10979,2011-04-10,MEDIUM,4,2011,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,10979,EXPRESS AIR,2011-06-10,6,2011,61 days 00:00:00.000000000
42,Ord_4023,Prod_5,SHP_5598,Cust_1388,486.43,0.0,15,285.35,3.92,0.44,FURNITURE,OFFICE FURNISHINGS,10979,2011-04-10,MEDIUM,4,2011,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,10979,REGULAR AIR,2011-06-10,6,2011,61 days 00:00:00.000000000
43,Ord_4096,Prod_1,SHP_5708,Cust_1388,7922.69,0.1,21,1558.79,19.99,0.58,OFFICE SUPPLIES,STORAGE & ORGANIZATION,53895,2011-04-09,NOT SPECIFIED,4,2011,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,53895,REGULAR AIR,2011-06-09,6,2011,61 days 00:00:00.000000000
44,Ord_4068,Prod_8,SHP_5674,Cust_1388,1692.28,0.1,46,61.0,4.0,0.7,TECHNOLOGY,COMPUTER PERIPHERALS,31847,2009-12-18,LOW,12,2009,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,31847,REGULAR AIR,2009-12-22,12,2009,4 days 00:00:00.000000000
45,Ord_1551,Prod_16,SHP_2145,Cust_531,184.77,0.0,29,-71.96,5.3,0.55,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",39330,2010-07-17,CRITICAL,7,2010,ANDY YOTOV,ONTARIO,ONTARIO,CORPORATE,39330,EXPRESS AIR,2010-07-18,7,2010,1 days 00:00:00.000000000
46,Ord_1377,Prod_13,SHP_1897,Cust_531,37.3,0.0,7,5.03,0.71,0.52,OFFICE SUPPLIES,PENS & ART SUPPLIES,13861,2010-11-08,HIGH,11,2010,ANDY YOTOV,ONTARIO,ONTARIO,CORPORATE,13861,REGULAR AIR,2010-11-08,11,2010,0 days 00:00:00.000000000
47,Ord_1579,Prod_16,SHP_2178,Cust_566,139.37,0.04,16,1.72,2.64,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",43367,2010-09-03,CRITICAL,9,2010,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,43367,EXPRESS AIR,2010-10-03,10,2010,30 days 00:00:00.000000000
48,Ord_1579,Prod_6,SHP_2177,Cust_566,23.38,0.08,3,-12.19,5.14,0.37,OFFICE SUPPLIES,PAPER,43367,2010-09-03,CRITICAL,9,2010,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,43367,REGULAR AIR,2010-12-03,12,2010,91 days 00:00:00.000000000
49,Ord_1579,Prod_1,SHP_2179,Cust_566,1221.62,0.01,18,-468.64,35.0,0.8,OFFICE SUPPLIES,STORAGE & ORGANIZATION,43367,2010-09-03,CRITICAL,9,2010,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,43367,REGULAR AIR,2010-09-03,9,2010,0 days 00:00:00.000000000
50,Ord_1670,Prod_4,SHP_2308,Cust_566,2077.1875,0.05,12,-38.07,4.2,0.59,TECHNOLOGY,TELEPHONES AND COMMUNICATION,58113,2012-01-02,HIGH,1,2012,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,58113,EXPRESS AIR,2012-03-02,3,2012,60 days 00:00:00.000000000
51,Ord_1670,Prod_3,SHP_2307,Cust_566,362.71,0.07,48,-88.95,6.16,0.35,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,58113,2012-01-02,HIGH,1,2012,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,58113,REGULAR AIR,2012-03-02,3,2012,60 days 00:00:00.000000000
52,Ord_1621,Prod_3,SHP_2238,Cust_566,2010.89,0.09,34,564.07,11.55,0.38,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,50306,2011-05-20,MEDIUM,5,2011,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,50306,REGULAR AIR,2011-05-22,5,2011,2 days 00:00:00.000000000
53,Ord_1429,Prod_16,SHP_1976,Cust_510,539.06,0.05,42,-123.07,4.59,0.82,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",20259,2011-05-24,CRITICAL,5,2011,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,20259,REGULAR AIR,2011-05-25,5,2011,1 days 00:00:00.000000000
54,Ord_1532,Prod_4,SHP_2119,Cust_510,1491.8265,0.1,28,124.83,8.99,0.56,TECHNOLOGY,TELEPHONES AND COMMUNICATION,36679,2011-08-30,CRITICAL,8,2011,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,36679,REGULAR AIR,2011-02-09,2,2011,-202 days +00:00:00.000000000
55,Ord_1337,Prod_6,SHP_1839,Cust_510,225.21,0.06,38,-66.16,5.2,0.36,OFFICE SUPPLIES,PAPER,6438,2010-05-16,NOT SPECIFIED,5,2010,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,6438,REGULAR AIR,2010-05-17,5,2010,1 days 00:00:00.000000000
56,Ord_1337,Prod_5,SHP_1838,Cust_510,75.72,0.02,7,20.29,6.02,0.48,FURNITURE,OFFICE FURNISHINGS,6438,2010-05-16,NOT SPECIFIED,5,2010,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,6438,REGULAR AIR,2010-05-16,5,2010,0 days 00:00:00.000000000
57,Ord_1415,Prod_5,SHP_1953,Cust_510,2673.08,0.01,45,-1363.12,52.2,0.72,FURNITURE,OFFICE FURNISHINGS,18182,2011-10-04,MEDIUM,10,2011,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,18182,REGULAR AIR,2011-11-04,11,2011,31 days 00:00:00.000000000
58,Ord_1415,Prod_1,SHP_1954,Cust_510,396.69,0.09,12,-18.45,8.74,0.61,OFFICE SUPPLIES,STORAGE & ORGANIZATION,18182,2011-10-04,MEDIUM,10,2011,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,18182,EXPRESS AIR,2011-12-04,12,2011,61 days 00:00:00.000000000
59,Ord_1415,Prod_8,SHP_1952,Cust_510,4598.73,0.04,45,1049.45,19.99,0.5,TECHNOLOGY,COMPUTER PERIPHERALS,18182,2011-10-04,MEDIUM,10,2011,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,18182,REGULAR AIR,2011-12-04,12,2011,61 days 00:00:00.000000000
60,Ord_2471,Prod_16,SHP_3386,Cust_965,90.93,0.05,43,-72.5,2.56,0.55,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",36355,2009-02-12,MEDIUM,2,2009,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,36355,REGULAR AIR,2009-03-12,3,2009,28 days 00:00:00.000000000
61,Ord_2471,Prod_13,SHP_3386,Cust_965,125.95,0.0,10,15.73,2.36,0.55,OFFICE SUPPLIES,PENS & ART SUPPLIES,36355,2009-02-12,MEDIUM,2,2009,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,36355,REGULAR AIR,2009-03-12,3,2009,28 days 00:00:00.000000000
62,Ord_2471,Prod_5,SHP_3385,Cust_965,129.5,0.02,6,65.49,6.68,0.53,FURNITURE,OFFICE FURNISHINGS,36355,2009-02-12,MEDIUM,2,2009,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,36355,REGULAR AIR,2009-02-12,2,2009,0 days 00:00:00.000000000
63,Ord_2471,Prod_3,SHP_3384,Cust_965,61.43,0.09,9,-42.98,7.78,0.37,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,36355,2009-02-12,MEDIUM,2,2009,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,36355,EXPRESS AIR,2009-02-12,2,2009,0 days 00:00:00.000000000
64,Ord_2413,Prod_11,SHP_3311,Cust_965,7981.2,0.02,21,-592.52,85.63,0.74,FURNITURE,TABLES,24069,2010-07-16,LOW,7,2010,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,24069,DELIVERY TRUCK,2010-07-23,7,2010,7 days 00:00:00.000000000
65,Ord_2517,Prod_11,SHP_3447,Cust_965,5407.9,0.01,35,-352.79,46.2,0.69,FURNITURE,TABLES,46562,2011-12-02,NOT SPECIFIED,12,2011,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,46562,DELIVERY TRUCK,2011-02-14,2,2011,-291 days +00:00:00.000000000
66,Ord_2540,Prod_5,SHP_3478,Cust_965,1020.88,0.08,47,173.94,8.99,0.44,FURNITURE,OFFICE FURNISHINGS,52480,2010-07-27,NOT SPECIFIED,7,2010,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,52480,REGULAR AIR,2010-07-29,7,2010,2 days 00:00:00.000000000
67,Ord_2429,Prod_9,SHP_3335,Cust_965,53.66,0.09,5,5.69,1.39,0.35,OFFICE SUPPLIES,ENVELOPES,27011,2010-12-30,MEDIUM,12,2010,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,27011,REGULAR AIR,2010-12-30,12,2010,0 days 00:00:00.000000000
68,Ord_2415,Prod_7,SHP_3313,Cust_965,60.64,0.05,31,-66.62,2.58,0.82,OFFICE SUPPLIES,RUBBER BANDS,24228,2009-07-17,LOW,7,2009,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,24228,REGULAR AIR,2009-07-21,7,2009,4 days 00:00:00.000000000
69,Ord_2873,Prod_16,SHP_3957,Cust_1052,138.55,0.03,16,0.9,2.64,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",18595,2009-01-31,CRITICAL,1,2009,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,18595,REGULAR AIR,2009-02-02,2,2009,2 days 00:00:00.000000000
70,Ord_2873,Prod_2,SHP_3957,Cust_1052,451.44,0.1,6,-35.19,13.99,0.52,OFFICE SUPPLIES,APPLIANCES,18595,2009-01-31,CRITICAL,1,2009,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,18595,REGULAR AIR,2009-02-02,2,2009,2 days 00:00:00.000000000
71,Ord_2859,Prod_12,SHP_3935,Cust_1052,116.37,0.04,27,57.63,0.5,0.38,OFFICE SUPPLIES,LABELS,13670,2012-05-23,CRITICAL,5,2012,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,13670,EXPRESS AIR,2012-05-26,5,2012,3 days 00:00:00.000000000
72,Ord_2897,Prod_5,SHP_3998,Cust_1052,306.02,0.08,27,-6.7,6.2,0.52,FURNITURE,OFFICE FURNISHINGS,27974,2010-07-10,HIGH,7,2010,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,27974,REGULAR AIR,2010-08-10,8,2010,31 days 00:00:00.000000000
73,Ord_2897,Prod_15,SHP_3998,Cust_1052,897.42,0.08,35,127.17,5.3,,FURNITURE,CHAIRS & CHAIRMATS,27974,2010-07-10,HIGH,7,2010,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,27974,REGULAR AIR,2010-08-10,8,2010,31 days 00:00:00.000000000
74,Ord_2848,Prod_5,SHP_3920,Cust_1052,168.25,0.09,6,101.78,6.93,0.49,FURNITURE,OFFICE FURNISHINGS,7429,2010-05-26,NOT SPECIFIED,5,2010,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,7429,EXPRESS AIR,2010-05-27,5,2010,1 days 00:00:00.000000000
75,Ord_2848,Prod_8,SHP_3919,Cust_1052,1379.34,0.04,33,-470.85,19.99,0.77,TECHNOLOGY,COMPUTER PERIPHERALS,7429,2010-05-26,NOT SPECIFIED,5,2010,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,7429,REGULAR AIR,2010-05-27,5,2010,1 days 00:00:00.000000000
76,Ord_43,Prod_16,SHP_56,Cust_34,9620.82,0.04,6,-1759.58,24.49,0.81,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",6116,2009-03-20,MEDIUM,3,2009,BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,6116,REGULAR AIR,2009-03-22,3,2009,2 days 00:00:00.000000000
77,Ord_51,Prod_9,SHP_67,Cust_34,751.77,0.05,50,353.2,1.39,0.38,OFFICE SUPPLIES,ENVELOPES,7430,2010-08-06,MEDIUM,8,2010,BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,7430,REGULAR AIR,2010-09-06,9,2010,31 days 00:00:00.000000000
78,Ord_43,Prod_8,SHP_2587,Cust_672,150.77,0.01,7,-72.23,4.0,0.68,TECHNOLOGY,COMPUTER PERIPHERALS,6116,2009-03-20,MEDIUM,3,2009,BARRY WEIRICH,NOVA SCOTIA,ATLANTIC,CORPORATE,6116,REGULAR AIR,2009-03-20,3,2009,0 days 00:00:00.000000000
79,Ord_956,Prod_16,SHP_1324,Cust_346,503.17,0.01,46,-10.21,4.68,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",34721,2010-01-11,NOT SPECIFIED,1,2010,BART WATTERS,BRITISH COLUMBIA,WEST,CORPORATE,34721,REGULAR AIR,2010-02-11,2,2010,31 days 00:00:00.000000000
